horse,number
Forte,1
Practical Move,2
Angel of Empire,3
Tapit Trice,4
Two Phil's,5
Lord Miles,6
Derma Sotogake,7
Kingsbarns,8
Raise Cain,9
Rocket Can,10
Hit Show,11
Confidence Game,12
Verifying,13
Sun Thunder,14
Mage,15
Disarm,16
Reincarnate,17
Jace's Road,18
Skinner,19
Continuar,20
Cyclone Mischief,21
Major Dude,22
Mandarin Hero (JPN),23
King Russell,24
